15378	77
16534	77
20410	77
42339	4
50642	77
51130	77
75762	77
77548	77
80179	77
85061	77
87818	77
91257	4
93007	77
96132	77
98059	77
98386	77
99862	8
100071	77
100249	3
100852	77
101448	77
102618	77
103099	77
103270	77
103592	77
104384	77
106109	77
107322	77
107758	77
107816	2
107927	77
108180	10
108291	5
108444	77
108463	4
108677	77
108929	6
109048	4
109061	77
109081	77
109211	77
110329	77
110339	77
110504	1
111618	77
112553	5
112748	77
112783	77
112793	77
112857	77
112907	77
113013	77
113072	77
113085	8
113368	77
113462	77
113653	2
113701	77
113812	77
113986	77
114091	77
114095	77
114196	2
114428	77
114898	77
115304	20
115333	77
115640	5
115646	5
115674	0
115785	1
115799	77
115862	77
115879	77
115918	77
115950	77
61587	8
84882	5
89853	6
93461	13
95316	5
97555	12
98153	6
99064	3
99567	7
100396	88
101080	10
102649	10
103070	15
103588	1
103730	10
104296	11
104448	3
105252	6
105500	3
105925	8
107370	4
107420	7
107540	8
107555	88
107578	4
107715	10
107725	6
107757	10
107829	8
108002	8
108016	8
108021	4
108115	8
108130	10
108206	8
108212	8
108254	10
108257	8
108260	6
108281	2
108290	10
108336	3
108405	10
108437	7
108467	4
108531	6
108545	4
108553	11
108583	88
108689	10
108749	10
108772	7
108774	8
108798	4
108815	8
108899	3
108905	5
108939	8
109103	10
109277	7
109298	6
109328	10
109435	4
110056	16
110116	2
110150	1
110160	4
110177	5
110183	6
110235	1
110309	4
110452	6
110554	8
110555	8
110556	8
111590	9
111603	12
111607	4
112535	7
112593	12
112610	19
112642	4
112657	8
112665	18
112668	17
112678	7
112682	7
112690	4
112694	5
112703	16
112709	8
112714	11
112726	7
112729	4
112733	10
112737	14
112754	9
112771	6
112787	6
112790	12
112807	88
112822	7
112827	8
112837	5
112841	15
112850	17
112851	10
112860	88
112865	17
112876	12
112879	18
112896	16
112901	12
112909	8
112911	2
112920	16
112930	9
112937	13
112938	4
112957	8
112959	15
112960	10
112970	19
112974	16
112975	11
112981	16
112987	16
112991	18
112992	10
112994	2
113008	5
113057	12
113078	16
113093	8
113106	15
113144	18
113167	8
113170	10
113196	5
113207	18
113209	19
113221	6
113223	8
113235	17
113254	88
113261	12
113275	5
113278	12
113304	14
113314	5
113324	9
113336	88
113337	17
113350	13
113362	15
113372	14
113384	15
113391	14
113398	8
113402	17
113403	10
113414	7
113430	15
113432	6
113435	10
113438	8
113446	13
113470	12
113475	16
113480	14
113482	14
113501	18
113521	14
113523	18
113526	12
113529	14
113532	18
113534	13
113536	18
113537	2
113553	13
113585	16
113586	15
113594	8
113600	16
113602	10
113613	13
113617	10
113626	13
113652	17
113655	6
113659	10
113662	7
113663	11
113664	11
113682	15
113707	18
113711	3
113713	19
113717	19
113718	16
113726	6
113736	17
113739	4
113740	14
113763	14
113765	11
113766	16
113780	13
113786	11
113791	0
113803	88
113805	18
113808	10
113811	10
113836	8
113882	11
113889	13
113892	13
113893	16
113894	10
113895	9
113920	8
113939	10
113943	17
113962	13
113968	11
113969	12
113983	18
113985	3
113992	18
114000	3
114002	6
114015	18
114034	5
114056	11
114060	7
114074	18
114076	11
114093	4
114094	10
114102	18
114107	15
114125	19
114129	10
114137	16
114142	13
114143	14
114149	17
114164	9
114172	8
114181	18
114184	6
114190	14
114192	11
114197	2
114205	4
114207	3
114208	15
114220	14
114246	17
114250	5
114251	88
114252	13
114256	13
114258	12
114259	17
114273	8
114292	9
114308	4
114310	4
114319	14
114321	16
114337	15
114368	1
114401	10
114412	4
114414	8
114421	4
114429	6
114464	6
114465	8
114472	8
114478	18
114480	8
114514	16
114517	17
114518	8
114525	4
114531	19
114547	16
114557	3
114560	5
114574	10
114588	10
114591	10
114597	12
114614	10
114622	18
114624	13
114625	5
114629	11
114640	10
114646	11
114827	13
114862	3
114947	8
114990	17
115129	12
115178	14
115243	18
115318	12
115320	18
115359	7
115379	9
115538	3
115621	88
115637	15
115665	9
115697	13
115775	7
115781	8
115848	13
115884	12
115931	4
115938	5
115954	8
